,India,Japan,China,Korea,Canada,Brazil,Russia,European Union
June 2013,58.32857368,97.429,6.171770588,1135.210526,1.030426316,2.16877,32.33357895,1.318875
July 2013,59.77942632,99.666,6.172085714,1125.97619,1.03895,2.247728571,32.71163333,1.309409524
August 2013,63.208845,97.87,6.170763636,1116.97619,1.040861905,2.338454545,33.02450455,1.33095
Sep 2013,63.64115789,99.27888889,6.158166667,1086.041176,1.03424,2.272535,32.563255,1.335495
Oct 2013,61.631155,97.85136364,6.140545,1066.795238,1.03635,2.194261111,32.07308182,1.363818182
November 2013,62.708575,99.78833333,6.137621053,1062.963158,1.048077778,2.288789474,32.65022105,1.348147368
December 2013,61.94803158,103.4115789,6.1172,1056.926316,1.064022222,2.345915789,32.89796316,1.3699
Jan 2014,62.13515263,103.935,6.103915789,1065.005556,1.09394,2.381565,33.95975333,1.361233333
Feb 2014,62.27192353,102.1561111,6.113266667,1071.794737,1.105510526,2.388110526,35.30462632,1.365636842
March 2014,60.96696111,102.2725,6.136905263,1071.073684,1.111084211,2.328194737,36.13127778,1.382252381
April 2014,60.35662353,102.5638095,6.15511,1044.558182,1.099128571,2.234790476,35.67306364,1.38125
May 2014,59.34278947,101.7821053,6.163231579,1025.378947,1.08957,2.221561905,34.87347368,1.3737
Jun 2014,59.7307,102.052381,6.156361905,1019.57,1.083457895,2.237295,34.41763158,1.359238095
Jul 2014,60.063755,101.7014286,6.1566,1020.395455,1.074395238,2.221540909,34.72232727,1.353695455
August 2014,60.89517222,102.9571429,6.160614286,1025.36,1.092725,2.269352381,36.1296,1.331609524
September 2014,60.8835619,107.2442105,6.152075,1034.261111,1.101180952,2.327242857,38.0012619,1.289033333
October 2014,61.348025,108.0613636,6.144041176,1059.745,1.12122381,2.450419048,40.93744545,1.267245455
Nov 2014,61.6772875,116.016875,6.144316667,1094.105556,1.132017647,2.546366667,46.1990375,1.247116667
Dec 2014,62.71092381,119.3126316,6.124219048,1104.328571,1.153252381,2.6327,56.12080952,1.233133333
January 2015,62.13535556,118.3077778,6.127384211,1088.926316,1.214342105,2.633536842,65.80275714,1.16
February 2015,62.02792353,118.5633333,6.13435,1098.38,1.250544444,2.804455556,64.72628235,1.134657895
Mar 2015,62.4498381,120.3868182,6.150547619,1112.568182,1.261913636,3.124486364,60.23389524,1.083768182
Apr 2015,62.75316111,119.5495238,6.129778947,1088.663636,1.233114286,3.057968182,52.92273182,1.07793
May 2015,63.81018889,120.6894118,6.114152632,1091.272222,1.217857895,3.051778947,50.46418235,1.115857895
June 2015,63.86073636,123.7504545,6.116138095,1112.195455,1.236604545,3.115504545,54.5153381,1.121322727
July 2015,63.64582727,123.2433333,6.1167,1144.131818,1.28942,3.2147,57.456,1.099122727
Aug 2015,65.07233,123.2338095,6.30557619,1179.1,1.314784211,3.502271429,65.72629524,1.113904762
Sep 2015,66.19008947,120.285,6.369705263,1184.426316,1.326695238,3.89092381,66.65516667,1.12247619
October 2015,65.07547895,120.0619048,6.34906875,1147.62,1.307266667,3.885566667,63.2266,1.122852381
November 2015,66.05041875,122.5329412,6.364152632,1152.657895,1.327483333,3.784838889,65.02087778,1.075073684
December 2015,66.59551429,121.924,6.4527,1172.236364,1.370466667,3.868672727,69.9607,1.087718182
Jan 2016,67.29336667,118.3061111,6.5731,1200.544444,1.420821053,4.045726316,77.88553333,1.085794737
Feb 2016,68.24307895,115.0931579,6.543913333,1217.0375,1.37961,3.96851,77.22955789,1.10886
March 2016,67.02185,113.0704545,6.507091304,1189.580952,1.322618182,3.72143913,70.0352619,1.109966667
April 2016,66.46953125,109.9652381,6.478735,1147.51,1.281857143,3.569647619,66.6639381,1.133919048
May 2016,66.88610952,109.0622222,6.52882,1171.1,1.293615,3.530080952,65.75488947,1.131928571
Jun 2016,67.29686364,105.4918182,6.595765,1170.504762,1.288633333,3.441390909,65.13256667,1.122890909
Jul 2016,67.21678889,103.9710526,6.678905,1143.92,1.306115789,3.275795,64.40381579,1.106505
August 2016,66.93964286,101.2690909,6.64916087,1111.677273,1.299436364,3.209,64.9503087,1.121173913
September 2016,66.73773,101.9442105,6.672636842,1106.927778,1.310866667,3.255590476,64.45888571,1.12147619
October 2016,66.75722353,103.8175,6.749093333,1125.778947,1.325145,3.18851,62.6349,1.101935
Nov 2016,67.52738421,107.6244444,6.833605,1159.935,1.343142105,3.329831579,64.38757895,1.082185
Dec 2016,67.89891053,115.8995,6.921971429,1181.295238,1.332935,3.362157143,61.99776667,1.054290476
